Application_ID,Customer_ID,Application_Date,Channel,Current_Status,Drop_Off_Stage
APP0000001,CUST0000001,2024-10-02,Mobile,Completed,Final Approval
APP0000002,CUST0000002,2025-06-09,Web,Completed,Final Approval
APP0000003,CUST0000003,2025-04-26,Mobile,Completed,Final Approval
APP0000004,CUST0000004,2025-02-07,Web,Abandoned,Document Upload
APP0000005,CUST0000005,2025-02-05,Mobile,Completed,Final Approval
APP0000006,CUST0000006,2025-07-10,Mobile,Abandoned,Document Upload
APP0000007,CUST0000007,2024-10-01,Mobile,Completed,Final Approval
APP0000008,CUST0000008,2025-05-12,Mobile,Completed,Final Approval
APP0000009,CUST0000009,2024-11-12,Web,Completed,Final Approval
APP0000010,CUST0000010,2024-10-04,Mobile,Completed,Final Approval
APP0000011,CUST0000011,2025-03-11,Mobile,Completed,Final Approval
APP0000012,CUST0000012,2025-08-22,Branch,In Progress,Form
APP0000013,CUST0000013,2025-05-26,Mobile,In Progress,KYC
APP0000014,CUST0000014,2025-06-04,Mobile,Abandoned,KYC
APP0000015,CUST0000015,2025-05-19,Web,Completed,Final Approval
APP0000016,CUST0000016,2025-06-13,Web,Completed,Final Approval
APP0000017,CUST0000017,2025-03-06,Mobile,Completed,Final Approval
APP0000018,CUST0000018,2024-10-16,Branch,Completed,Final Approval
APP0000019,CUST0000019,2025-07-03,Mobile,Abandoned,KYC
APP0000020,CUST0000020,2025-02-11,Mobile,Abandoned,KYC
APP0000021,CUST0000021,2025-03-01,Mobile,Abandoned,Form
APP0000022,CUST0000022,2025-01-13,Branch,Completed,Final Approval
APP0000023,CUST0000023,2024-11-05,Mobile,Completed,Final Approval
APP0000024,CUST0000024,2025-08-04,Web,Completed,Final Approval
APP0000025,CUST0000025,2025-06-12,Mobile,Completed,Final Approval
APP0000026,CUST0000026,2025-04-23,Mobile,Completed,Final Approval
APP0000027,CUST0000027,2025-01-24,Web,Completed,Final Approval
APP0000028,CUST0000028,2025-06-27,Branch,In Progress,KYC
APP0000029,CUST0000029,2025-03-18,Mobile,Abandoned,Document Upload
APP0000030,CUST0000030,2025-02-08,Mobile,Completed,Final Approval
APP0000031,CUST0000031,2025-02-11,Web,Completed,Final Approval
APP0000032,CUST0000032,2024-11-21,Mobile,Abandoned,Form
APP0000033,CUST0000033,2024-10-03,Mobile,Completed,Final Approval
APP0000034,CUST0000034,2025-03-21,Mobile,Abandoned,KYC
APP0000035,CUST0000035,2025-07-21,Branch,In Progress,KYC
APP0000036,CUST0000036,2024-09-23,Mobile,Abandoned,Form
APP0000037,CUST0000037,2025-07-10,Mobile,Completed,Final Approval
APP0000038,CUST0000038,2025-06-29,Mobile,Abandoned,Form
APP0000039,CUST0000039,2024-12-10,Mobile,Completed,Final Approval
APP0000040,CUST0000040,2025-04-18,Mobile,Completed,Final Approval
APP0000041,CUST0000041,2024-10-30,Mobile,Abandoned,Form
APP0000042,CUST0000042,2025-06-03,Web,Completed,Final Approval
APP0000043,CUST0000043,2025-05-13,Mobile,Abandoned,KYC
APP0000044,CUST0000044,2025-01-07,Mobile,Abandoned,Document Upload
APP0000045,CUST0000045,2024-09-24,Web,Completed,Final Approval
APP0000046,CUST0000046,2025-08-20,Mobile,Completed,Final Approval
APP0000047,CUST0000047,2025-02-09,Mobile,Abandoned,KYC
APP0000048,CUST0000048,2025-07-22,Mobile,Completed,Final Approval
APP0000049,CUST0000049,2025-05-05,Web,Completed,Final Approval
APP0000050,CUST0000050,2025-06-11,Web,Completed,Final Approval
APP0000051,CUST0000051,2025-06-04,Web,Abandoned,Document Upload
APP0000052,CUST0000052,2024-11-10,Web,Abandoned,Document Upload
APP0000053,CUST0000053,2025-01-10,Mobile,Completed,Final Approval
APP0000054,CUST0000054,2025-02-17,Branch,Completed,Final Approval
APP0000055,CUST0000055,2025-02-28,Mobile,Completed,Final Approval
APP0000056,CUST0000056,2024-09-15,Mobile,Abandoned,Form
APP0000057,CUST0000057,2025-03-18,Mobile,Completed,Final Approval
APP0000058,CUST0000058,2024-10-26,Mobile,Completed,Final Approval
APP0000059,CUST0000059,2025-05-29,Mobile,Completed,Final Approval
APP0000060,CUST0000060,2025-05-07,Mobile,Completed,Final Approval
APP0000061,CUST0000061,2025-08-02,Web,In Progress,Document Upload
APP0000062,CUST0000062,2025-05-29,Web,Completed,Final Approval
APP0000063,CUST0000063,2025-01-11,Web,Completed,Final Approval
APP0000064,CUST0000064,2025-08-19,Mobile,Completed,Final Approval
