Customer_ID,Age,Gender,Location,Occupation,Income_Band,Risk_Segment
CUST0000001,39,Male,London,Self-Employed,High,Medium
CUST0000002,28,Male,Edinburgh,Retired,High,Low
CUST0000003,42,Female,Belfast,Employed - Full Time,Medium,Low
CUST0000004,21,Male,Manchester,Unemployed,Medium,Low
CUST0000005,30,Male,London,Employed - Part Time,Medium,Medium
CUST0000006,40,Female,Edinburgh,Employed - Part Time,Medium,Medium
CUST0000007,24,Female,Edinburgh,Employed - Full Time,Medium,Medium
CUST0000008,34,Male,Cardiff,Self-Employed,High,Low
CUST0000009,46,Female,Leicester,Self-Employed,Low,Low
CUST0000010,20,Female,Glasgow,Employed - Full Time,Medium,Medium
CUST0000011,28,Female,Nottingham,Employed - Full Time,High,Medium
CUST0000012,35,Female,Cardiff,Employed - Full Time,High,Medium
CUST0000013,20,Female,Belfast,Self-Employed,Medium,Medium
CUST0000014,31,Male,Birmingham,Unemployed,Medium,Low
CUST0000015,49,Male,Liverpool,Employed - Full Time,High,Low
CUST0000016,40,Male,London,Employed - Full Time,Medium,Medium
CUST0000017,18,Female,Manchester,Retired,Low,Low
CUST0000018,39,Female,Manchester,Student,Low,Low
CUST0000019,33,Male,Manchester,Employed - Full Time,Low,Medium
CUST0000020,23,Male,Coventry,Employed - Full Time,Medium,Low
CUST0000021,59,Female,Coventry,Self-Employed,Low,High
CUST0000022,29,Male,Birmingham,Employed - Full Time,Low,Low
CUST0000023,27,Male,Leeds,Employed - Full Time,Low,Medium
CUST0000024,30,Female,Leeds,Self-Employed,Medium,Low
CUST0000025,31,Male,London,Employed - Full Time,Medium,Low
CUST0000026,33,Female,Liverpool,Employed - Full Time,Low,Low
CUST0000027,28,Male,London,Employed - Full Time,Medium,High
CUST0000028,29,Female,Cardiff,Employed - Full Time,Low,Low
CUST0000029,22,Male,Glasgow,Employed - Full Time,Low,High
CUST0000030,59,Female,Liverpool,Self-Employed,Medium,Medium
CUST0000031,52,Female,Liverpool,Employed - Full Time,Medium,Low
CUST0000032,35,Male,Newcastle,Employed - Full Time,Medium,Medium
CUST0000033,68,Male,Leicester,Employed - Full Time,Medium,Medium
CUST0000034,61,Male,London,Self-Employed,Medium,Medium
CUST0000035,36,Male,Cardiff,Employed - Full Time,High,High
CUST0000036,47,Female,London,Employed - Full Time,Low,Medium
CUST0000037,22,Female,Manchester,Employed - Part Time,Medium,Low
CUST0000038,61,Male,London,Retired,Medium,Medium
CUST0000039,68,Female,Newcastle,Employed - Part Time,Low,Medium
CUST0000040,37,Female,London,Employed - Full Time,Low,Medium
CUST0000041,25,Male,Birmingham,Employed - Part Time,Low,Low
