Application_ID,Verification_Date,Verification_Result,Time_Taken_Hours,Escalation_Flag
APP0000001,2024-10-04,Pass,40,No
APP0000002,2025-06-12,Pass,47,No
APP0000003,2025-04-26,Pass,4,No
APP0000005,2025-02-08,Pass,28,No
APP0000007,2024-10-03,Pass,40,No
APP0000008,2025-05-14,Pass,43,No
APP0000009,2024-11-14,Pass,36,No
APP0000010,2024-10-05,Pass,44,No
APP0000011,2025-03-14,Pass,32,No
APP0000013,2025-05-26,Pending,35,No
APP0000014,2025-06-05,Pending,31,Yes
APP0000015,2025-05-20,Pass,19,No
APP0000016,2025-06-15,Pass,21,No
APP0000017,2025-03-07,Pass,33,No
APP0000018,2024-10-16,Pass,24,No
APP0000019,2025-07-03,Pending,42,No
APP0000020,2025-02-11,Fail,42,No
APP0000022,2025-01-13,Pass,47,No
APP0000023,2024-11-06,Pass,29,No
APP0000024,2025-08-07,Fail,43,No
APP0000025,2025-06-13,Pass,20,No
APP0000026,2025-04-25,Pass,21,No
APP0000027,2025-01-27,Pass,30,No
APP0000028,2025-06-28,Pending,32,No
APP0000030,2025-02-09,Pass,14,No
APP0000031,2025-02-13,Pass,12,No
APP0000033,2024-10-04,Pass,33,No
APP0000034,2025-03-24,Fail,21,No
APP0000035,2025-07-22,Pending,42,No
APP0000037,2025-07-13,Pass,33,No
APP0000039,2024-12-13,Pass,33,No
APP0000040,2025-04-21,Pass,32,No
APP0000042,2025-06-03,Pass,38,No
APP0000043,2025-05-14,Pending,28,No
APP0000045,2024-09-26,Pass,40,No
APP0000046,2025-08-22,Pass,24,No
APP0000047,2025-02-11,Pending,27,No
APP0000048,2025-07-24,Pass,23,No
APP0000049,2025-05-07,Pass,35,No
APP0000050,2025-06-11,Pass,30,No
APP0000053,2025-01-13,Pass,21,No
APP0000054,2025-02-19,Pass,50,No
APP0000055,2025-03-03,Pass,26,No
APP0000057,2025-03-19,Pass,28,No
APP0000058,2024-10-27,Pass,33,No
APP0000059,2025-06-01,Pass,47,No
APP0000060,2025-05-08,Pass,28,No
APP0000062,2025-05-29,Pass,37,No
APP0000063,2025-01-12,Pass,30,No
APP0000064,2025-08-21,Pass,15,No
APP0000065,2025-01-27,Pending,37,No
APP0000066,2024-12-30,Pass,40,No
APP0000067,2025-07-28,Pass,27,No
APP0000068,2025-01-14,Pending,29,No
APP0000069,2024-09-29,Pass,14,No
APP0000070,2025-02-21,Pass,14,No
APP0000071,2025-06-20,Pass,26,No
APP0000072,2024-11-11,Pass,36,No
APP0000073,2025-02-16,Fail,25,No
APP0000074,2024-10-17,Pass,32,No
APP0000075,2025-05-11,Pass,39,No
APP0000078,2024-11-23,Pass,30,No
APP0000079,2025-03-28,Pending,35,No
APP0000080,2025-05-02,Pass,44,No
APP0000081,2025-08-09,Pass,17,No
APP0000082,2025-02-08,Pass,37,No
APP0000083,2024-10-29,Pass,11,No
APP0000085,2025-04-19,Pass,34,No
