Ticket_ID,Application_ID,Issue_Type,Resolution_Time_Hours,Escalation_Level
TCK00000001,APP0000004,Upload,32,Tier 2
TCK00000002,APP0000036,Other,1,Tier 1
TCK00000003,APP0000041,Login,25,Tier 2
TCK00000004,APP0000048,Login,18,Tier 2
TCK00000005,APP0000053,Upload,28,Tier 1
TCK00000006,APP0000054,Login,21,Tier 1
TCK00000007,APP0000061,Status Inquiry,32,Tier 2
TCK00000008,APP0000070,Login,18,Tier 2
TCK00000009,APP0000073,Status Inquiry,13,Tier 1
TCK00000010,APP0000074,Status Inquiry,22,Tier 1
TCK00000011,APP0000088,Login,21,Tier 2
TCK00000012,APP0000089,Upload,15,Tier 1
TCK00000013,APP0000101,Login,16,Tier 1
TCK00000014,APP0000106,Upload,23,Tier 2
TCK00000015,APP0000113,Upload,23,Tier 1
TCK00000016,APP0000118,Upload,14,Tier 1
TCK00000017,APP0000121,Upload,15,Tier 1
TCK00000018,APP0000133,Other,3,Tier 1
TCK00000019,APP0000138,Upload,31,Tier 3
TCK00000020,APP0000143,Login,16,Tier 1
TCK00000021,APP0000172,Status Inquiry,28,Tier 1
TCK00000022,APP0000207,Other,21,Tier 2
TCK00000023,APP0000212,Other,33,Tier 1
TCK00000024,APP0000216,Status Inquiry,30,Tier 1
TCK00000025,APP0000217,Login,20,Tier 1
TCK00000026,APP0000220,Other,29,Tier 1
TCK00000027,APP0000223,Status Inquiry,10,Tier 1
TCK00000028,APP0000237,Status Inquiry,28,Tier 2
TCK00000029,APP0000240,Upload,6,Tier 1
TCK00000030,APP0000241,Login,20,Tier 1
TCK00000031,APP0000246,Status Inquiry,26,Tier 2
TCK00000032,APP0000247,Status Inquiry,19,Tier 2
TCK00000033,APP0000259,Status Inquiry,15,Tier 3
TCK00000034,APP0000281,Login,11,Tier 2
TCK00000035,APP0000289,Login,15,Tier 2
TCK00000036,APP0000301,Status Inquiry,26,Tier 1
TCK00000037,APP0000304,Login,25,Tier 2
TCK00000038,APP0000311,Other,15,Tier 1
TCK00000039,APP0000317,Login,8,Tier 2
TCK00000040,APP0000318,Status Inquiry,23,Tier 2
TCK00000041,APP0000321,Upload,6,Tier 1
TCK00000042,APP0000330,Upload,13,Tier 1
TCK00000043,APP0000334,Login,12,Tier 1
TCK00000044,APP0000342,Status Inquiry,23,Tier 2
TCK00000045,APP0000349,Other,19,Tier 1
TCK00000046,APP0000358,Status Inquiry,21,Tier 1
TCK00000047,APP0000366,Status Inquiry,20,Tier 1
TCK00000048,APP0000368,Status Inquiry,12,Tier 1
TCK00000049,APP0000377,Upload,22,Tier 1
TCK00000050,APP0000379,Upload,29,Tier 3
TCK00000051,APP0000391,Other,17,Tier 2
TCK00000052,APP0000392,Upload,23,Tier 1
TCK00000053,APP0000398,Login,16,Tier 1
TCK00000054,APP0000423,Other,26,Tier 1
TCK00000055,APP0000455,Other,23,Tier 1
TCK00000056,APP0000470,Upload,25,Tier 2
TCK00000057,APP0000479,Status Inquiry,20,Tier 2
TCK00000058,APP0000488,Status Inquiry,31,Tier 1
TCK00000059,APP0000489,Other,15,Tier 2
TCK00000060,APP0000490,Login,15,Tier 1
TCK00000061,APP0000503,Status Inquiry,13,Tier 1
TCK00000062,APP0000518,Upload,22,Tier 1
TCK00000063,APP0000525,Upload,13,Tier 3
TCK00000064,APP0000535,Status Inquiry,12,Tier 2
TCK00000065,APP0000541,Status Inquiry,23,Tier 1
TCK00000066,APP0000549,Upload,27,Tier 2
TCK00000067,APP0000552,Upload,22,Tier 1
TCK00000068,APP0000557,Other,1,Tier 2
TCK00000069,APP0000568,Status Inquiry,10,Tier 1
TCK00000070,APP0000573,Login,9,Tier 1
TCK00000071,APP0000574,Upload,8,Tier 1
TCK00000072,APP0000584,Status Inquiry,14,Tier 2
TCK00000073,APP0000590,Status Inquiry,32,Tier 1
TCK00000074,APP0000593,Other,15,Tier 1
TCK00000075,APP0000607,Login,12,Tier 3
TCK00000076,APP0000613,Status Inquiry,23,Tier 1
TCK00000077,APP0000614,Status Inquiry,18,Tier 1
TCK00000078,APP0000616,Login,18,Tier 1
TCK00000079,APP0000621,Login,12,Tier 1
TCK00000080,APP0000626,Login,17,Tier 1
TCK00000081,APP0000646,Login,21,Tier 1
TCK00000082,APP0000688,Status Inquiry,2,Tier 1
TCK00000083,APP0000695,Upload,5,Tier 1
TCK00000084,APP0000697,Status Inquiry,26,Tier 1
TCK00000085,APP0000726,Login,24,Tier 1
TCK00000086,APP0000741,Status Inquiry,13,Tier 2
TCK00000087,APP0000742,Status Inquiry,9,Tier 2
TCK00000088,APP0000743,Status Inquiry,16,Tier 2
TCK00000089,APP0000753,Status Inquiry,8,Tier 1
TCK00000090,APP0000755,Upload,15,Tier 1
TCK00000091,APP0000767,Login,31,Tier 1
TCK00000092,APP0000771,Other,19,Tier 1
TCK00000093,APP0000787,Login,27,Tier 2
TCK00000094,APP0000793,Upload,16,Tier 1
TCK00000095,APP0000801,Login,20,Tier 1
TCK00000096,APP0000820,Login,29,Tier 1
TCK00000097,APP0000829,Status Inquiry,7,Tier 1
TCK00000098,APP0000836,Status Inquiry,15,Tier 1
TCK00000099,APP0000843,Upload,16,Tier 1
TCK00000100,APP0000849,Status Inquiry,20,Tier 1
TCK00000101,APP0000880,Status Inquiry,30,Tier 1
TCK00000102,APP0000886,Upload,23,Tier 1
TCK00000103,APP0000897,Status Inquiry,6,Tier 1
TCK00000104,APP0000900,Upload,15,Tier 1
TCK00000105,APP0000902,Login,10,Tier 3
TCK00000106,APP0000904,Login,10,Tier 1
TCK00000107,APP0000925,Login,34,Tier 1
TCK00000108,APP0000933,Login,9,Tier 1
TCK00000109,APP0000941,Status Inquiry,19,Tier 1
TCK00000110,APP0000972,Other,12,Tier 1
TCK00000111,APP0000975,Login,24,Tier 1
TCK00000112,APP0000976,Status Inquiry,20,Tier 1
TCK00000113,APP0000990,Status Inquiry,19,Tier 1
TCK00000114,APP0000995,Status Inquiry,17,Tier 3
TCK00000115,APP0000996,Upload,27,Tier 1
TCK00000116,APP0001002,Upload,10,Tier 1
TCK00000117,APP0001003,Status Inquiry,12,Tier 1
TCK00000118,APP0001028,Login,9,Tier 2
TCK00000119,APP0001029,Status Inquiry,28,Tier 1
TCK00000120,APP0001032,Login,15,Tier 1
TCK00000121,APP0001038,Login,9,Tier 2
TCK00000122,APP0001067,Other,14,Tier 1
TCK00000123,APP0001070,Login,37,Tier 1
TCK00000124,APP0001073,Login,17,Tier 2
TCK00000125,APP0001075,Login,24,Tier 1
TCK00000126,APP0001082,Login,21,Tier 1
TCK00000127,APP0001085,Login,17,Tier 2
TCK00000128,APP0001092,Other,12,Tier 1
TCK00000129,APP0001095,Status Inquiry,15,Tier 1
TCK00000130,APP0001100,Upload,15,Tier 2
TCK00000131,APP0001112,Login,1,Tier 1
TCK00000132,APP0001124,Status Inquiry,38,Tier 1
TCK00000133,APP0001126,Upload,25,Tier 1
TCK00000134,APP0001138,Status Inquiry,18,Tier 1
TCK00000135,APP0001152,Upload,16,Tier 1
TCK00000136,APP0001166,Login,11,Tier 1
TCK00000137,APP0001172,Login,25,Tier 2
TCK00000138,APP0001183,Status Inquiry,16,Tier 1
TCK00000139,APP0001186,Login,21,Tier 2
TCK00000140,APP0001197,Login,6,Tier 1
TCK00000141,APP0001202,Upload,21,Tier 1
TCK00000142,APP0001213,Upload,34,Tier 1
TCK00000143,APP0001216,Upload,15,Tier 1
TCK00000144,APP0001252,Status Inquiry,24,Tier 1
TCK00000145,APP0001256,Upload,18,Tier 1
TCK00000146,APP0001259,Other,26,Tier 1
TCK00000147,APP0001271,Login,26,Tier 1
TCK00000148,APP0001281,Upload,18,Tier 2
TCK00000149,APP0001284,Status Inquiry,13,Tier 1
TCK00000150,APP0001286,Upload,20,Tier 1
TCK00000151,APP0001298,Status Inquiry,18,Tier 1
TCK00000152,APP0001306,Upload,13,Tier 2
TCK00000153,APP0001307,Upload,21,Tier 1
TCK00000154,APP0001316,Status Inquiry,21,Tier 1
TCK00000155,APP0001323,Upload,10,Tier 1
TCK00000156,APP0001324,Upload,17,Tier 1
TCK00000157,APP0001330,Upload,41,Tier 1
TCK00000158,APP0001335,Login,24,Tier 1
TCK00000159,APP0001338,Login,18,Tier 3
TCK00000160,APP0001357,Login,38,Tier 2
TCK00000161,APP0001373,Login,14,Tier 1
TCK00000162,APP0001386,Status Inquiry,1,Tier 1
TCK00000163,APP0001407,Upload,2,Tier 2
TCK00000164,APP0001417,Upload,5,Tier 2
TCK00000165,APP0001420,Upload,20,Tier 1
TCK00000166,APP0001429,Login,25,Tier 1
TCK00000167,APP0001434,Upload,1,Tier 2
TCK00000168,APP0001435,Status Inquiry,26,Tier 1
TCK00000169,APP0001436,Login,8,Tier 1
TCK00000170,APP0001468,Status Inquiry,20,Tier 2
TCK00000171,APP0001473,Status Inquiry,21,Tier 2
TCK00000172,APP0001480,Login,21,Tier 1
TCK00000173,APP0001491,Upload,18,Tier 2
