Log_ID,Application_ID,Error_Code,Downtime_Minutes,Step_Failed
LOG00000001,APP0000001,None,0,Final Approval
LOG00000002,APP0000002,None,0,Final Approval
LOG00000003,APP0000003,None,0,Final Approval
LOG00000004,APP0000004,None,0,Document Upload
LOG00000005,APP0000005,None,0,Final Approval
LOG00000006,APP0000006,None,0,Document Upload
LOG00000007,APP0000007,None,0,Final Approval
LOG00000008,APP0000008,API Failure,9,Final Approval
LOG00000009,APP0000009,None,0,Final Approval
LOG00000010,APP0000010,None,0,Final Approval
LOG00000011,APP0000011,None,0,Final Approval
LOG00000012,APP0000012,Timeout,9,Form
LOG00000013,APP0000013,Timeout,25,KYC
LOG00000014,APP0000014,None,0,KYC
LOG00000015,APP0000015,Timeout,24,Final Approval
LOG00000016,APP0000016,None,0,Final Approval
LOG00000017,APP0000017,None,0,Final Approval
LOG00000018,APP0000018,None,0,Final Approval
LOG00000019,APP0000019,Timeout,31,KYC
LOG00000020,APP0000020,None,0,KYC
LOG00000021,APP0000021,Timeout,14,Form
LOG00000022,APP0000022,None,0,Final Approval
LOG00000023,APP0000023,API Failure,5,Final Approval
LOG00000024,APP0000024,Upload Error,20,Final Approval
LOG00000025,APP0000025,None,0,Final Approval
LOG00000026,APP0000026,Timeout,34,Final Approval
LOG00000027,APP0000027,None,0,Final Approval
LOG00000028,APP0000028,None,0,KYC
LOG00000029,APP0000029,None,0,Document Upload
LOG00000030,APP0000030,None,0,Final Approval
LOG00000031,APP0000031,None,0,Final Approval
LOG00000032,APP0000032,None,0,Form
LOG00000033,APP0000033,None,0,Final Approval
LOG00000034,APP0000034,None,0,KYC
LOG00000035,APP0000035,Timeout,58,KYC
LOG00000036,APP0000036,Timeout,44,Form
LOG00000037,APP0000037,None,0,Final Approval
LOG00000038,APP0000038,None,0,Form
LOG00000039,APP0000039,None,0,Final Approval
LOG00000040,APP0000040,None,0,Final Approval
LOG00000041,APP0000041,API Failure,47,Form
LOG00000042,APP0000042,None,0,Final Approval
LOG00000043,APP0000043,None,0,KYC
LOG00000044,APP0000044,Upload Error,51,Document Upload
LOG00000045,APP0000045,API Failure,38,Final Approval
LOG00000046,APP0000046,None,0,Final Approval
LOG00000047,APP0000047,API Failure,7,KYC
LOG00000048,APP0000048,None,0,Final Approval
LOG00000049,APP0000049,None,0,Final Approval
LOG00000050,APP0000050,None,0,Final Approval
LOG00000051,APP0000051,Upload Error,41,Document Upload
LOG00000052,APP0000052,Upload Error,20,Document Upload
LOG00000053,APP0000053,None,0,Final Approval
LOG00000054,APP0000054,None,0,Final Approval
LOG00000055,APP0000055,None,0,Final Approval
LOG00000056,APP0000056,Timeout,36,Form
LOG00000057,APP0000057,None,0,Final Approval
LOG00000058,APP0000058,None,0,Final Approval
LOG00000059,APP0000059,None,0,Final Approval
LOG00000060,APP0000060,None,0,Final Approval
LOG00000061,APP0000061,None,0,Document Upload
LOG00000062,APP0000062,None,0,Final Approval
LOG00000063,APP0000063,None,0,Final Approval
LOG00000064,APP0000064,None,0,Final Approval
LOG00000065,APP0000065,None,0,KYC
LOG00000066,APP0000066,None,0,Final Approval
LOG00000067,APP0000067,None,0,Final Approval
LOG00000068,APP0000068,Timeout,36,KYC
LOG00000069,APP0000069,None,0,Final Approval
LOG00000070,APP0000070,None,0,Final Approval
LOG00000071,APP0000071,None,0,Final Approval
LOG00000072,APP0000072,Timeout,9,Final Approval
LOG00000073,APP0000073,None,0,Final Approval
LOG00000074,APP0000074,None,0,Final Approval
LOG00000075,APP0000075,None,0,Final Approval
LOG00000076,APP0000076,None,0,Form
LOG00000077,APP0000077,None,0,Document Upload
LOG00000078,APP0000078,None,0,Final Approval
LOG00000079,APP0000079,None,0,KYC
LOG00000080,APP0000080,None,0,Final Approval
LOG00000081,APP0000081,None,0,Final Approval
LOG00000082,APP0000082,None,0,Final Approval
LOG00000083,APP0000083,None,0,Final Approval
LOG00000084,APP0000084,API Failure,46,Form
LOG00000085,APP0000085,None,0,Final Approval
LOG00000086,APP0000086,None,0,Form
LOG00000087,APP0000087,None,0,Form
LOG00000088,APP0000088,None,0,Final Approval
LOG00000089,APP0000089,Upload Error,29,Document Upload
LOG00000090,APP0000090,None,0,Final Approval
LOG00000091,APP0000091,None,0,Final Approval
LOG00000092,APP0000092,API Failure,26,Final Approval
LOG00000093,APP0000093,None,0,Final Approval
LOG00000094,APP0000094,None,0,Final Approval
LOG00000095,APP0000095,None,0,Form
LOG00000096,APP0000096,None,0,Final Approval
LOG00000097,APP0000097,None,0,KYC
LOG00000098,APP0000098,None,0,Form
LOG00000099,APP0000099,None,0,Final Approval
LOG00000100,APP0000100,Timeout,7,KYC
LOG00000101,APP0000101,None,0,Document Upload
LOG00000102,APP0000102,None,0,Final Approval
LOG00000103,APP0000103,None,0,Final Approval
LOG00000104,APP0000104,None,0,Final Approval
LOG00000105,APP0000105,None,0,Final Approval
LOG00000106,APP0000106,None,0,Final Approval
LOG00000107,APP0000107,None,0,Form
LOG00000108,APP0000108,None,0,Final Approval
LOG00000109,APP0000109,None,0,Final Approval
LOG00000110,APP0000110,None,0,Final Approval
LOG00000111,APP0000111,None,0,KYC
LOG00000112,APP0000112,None,0,Final Approval
LOG00000113,APP0000113,None,0,Form
LOG00000114,APP0000114,None,0,Final Approval
LOG00000115,APP0000115,None,0,Form
LOG00000116,APP0000116,None,0,Final Approval
LOG00000117,APP0000117,None,0,Form
LOG00000118,APP0000118,None,0,Final Approval
LOG00000119,APP0000119,None,0,Final Approval
LOG00000120,APP0000120,API Failure,27,Final Approval
LOG00000121,APP0000121,Upload Error,3,KYC
LOG00000122,APP0000122,None,0,Final Approval
LOG00000123,APP0000123,None,0,Final Approval
LOG00000124,APP0000124,None,0,Final Approval
LOG00000125,APP0000125,None,0,Form
LOG00000126,APP0000126,None,0,Final Approval
LOG00000127,APP0000127,None,0,Final Approval
LOG00000128,APP0000128,None,0,Final Approval
LOG00000129,APP0000129,Timeout,39,KYC
LOG00000130,APP0000130,None,0,Final Approval
LOG00000131,APP0000131,None,0,Final Approval
LOG00000132,APP0000132,None,0,Final Approval
LOG00000133,APP0000133,Upload Error,15,Document Upload
LOG00000134,APP0000134,None,0,Final Approval
LOG00000135,APP0000135,Upload Error,10,Form
LOG00000136,APP0000136,None,0,Final Approval
LOG00000137,APP0000137,None,0,Final Approval
LOG00000138,APP0000138,None,0,Document Upload
LOG00000139,APP0000139,None,0,Final Approval
LOG00000140,APP0000140,None,0,Final Approval
LOG00000141,APP0000141,None,0,Final Approval
LOG00000142,APP0000142,None,0,Final Approval
LOG00000143,APP0000143,None,0,Final Approval
LOG00000144,APP0000144,None,0,Final Approval
LOG00000145,APP0000145,Upload Error,41,Document Upload
LOG00000146,APP0000146,Timeout,17,Final Approval
LOG00000147,APP0000147,None,0,Final Approval
LOG00000148,APP0000148,API Failure,27,Document Upload
LOG00000149,APP0000149,None,0,Final Approval
LOG00000150,APP0000150,API Failure,40,KYC
LOG00000151,APP0000151,None,0,Final Approval
LOG00000152,APP0000152,None,0,Final Approval
LOG00000153,APP0000153,None,0,Final Approval
LOG00000154,APP0000154,None,0,Final Approval
LOG00000155,APP0000155,Upload Error,13,Document Upload
